country_code,country_name,year,population,net_migration,gdp_per_capita,life_expectancy,fertility_rate,region,income_level,capital,migration_rate,migration_type,pop_growth,gdp_category
AGO,Angola,2023,36749906,-995.0,2916.13663284275,64.617,5.124,Sub-Saharan Africa,Lower middle income,Luanda,-0.027074899184776145,Net Emigration,3.1285985483553214,Lower Middle
AGO,Angola,2024,37885849,-2629.0,2665.87444776753,64.617,5.124,Sub-Saharan Africa,Lower middle income,Luanda,-0.06939266426364103,Net Emigration,3.091009266799216,Lower Middle
ALB,Albania,2016,2689469,-9347.0,4457.63412207495,78.643,1.555,Europe & Central Asia,Upper middle income,Tirane,-3.4754072272258947,Net Emigration,,Lower Middle
ALB,Albania,2017,2648285,-14901.0,5006.36012951959,78.9,1.486,Europe & Central Asia,Upper middle income,Tirane,-5.626660272591507,Net Emigration,-1.531305993859755,Upper Middle
ALB,Albania,2018,2607733,-15032.0,5897.65452588774,79.238,1.415,Europe & Central Asia,Upper middle income,Tirane,-5.764393824060975,Net Emigration,-1.5312551330389335,Upper Middle
ALB,Albania,2019,2567801,-23094.0,6069.43903131027,79.467,1.395,Europe & Central Asia,Upper middle income,Tirane,-8.99368759494992,Net Emigration,-1.531291738839824,Upper Middle
ALB,Albania,2020,2528480,-16680.0,6027.91350716348,77.824,1.371,Europe & Central Asia,Upper middle income,Tirane,-6.5968486996139974,Net Emigration,-1.531310253403595,Upper Middle
ALB,Albania,2021,2489762,-32848.0,7242.45513146613,76.844,1.365,Europe & Central Asia,Upper middle income,Tirane,-13.193228911036476,Net Emigration,-1.5312757071442085,Upper Middle
ALB,Albania,2022,2451636,-16426.0,7756.96188744253,78.769,1.355,Europe & Central Asia,Upper middle income,Tirane,-6.700015826166691,Net Emigration,-1.53131102490921,Upper Middle
ALB,Albania,2023,2414095,-25357.0,9730.86921906893,79.602,1.348,Europe & Central Asia,Upper middle income,Tirane,-10.503729140733899,Net Emigration,-1.5312632054676922,Upper Middle
ALB,Albania,2024,2377128,-24472.0,11377.7757431099,79.602,1.348,Europe & Central Asia,Upper middle income,Tirane,-10.294775880810793,Net Emigration,-1.531298478311749,Upper Middle
AND,Andorra,2016,72181,1415.0,40129.8385811474,84.489,1.184,Europe & Central Asia,High income,Andorra la Vella,19.60349676507668,Net Immigration,,High Income
AND,Andorra,2017,73763,1357.0,40672.9717424447,84.359,1.129,Europe & Central Asia,High income,Andorra la Vella,18.396757181784906,Net Immigration,2.191712500519527,High Income
AND,Andorra,2018,75162,1143.0,42819.7577456133,84.242,1.053,Europe & Central Asia,High income,Andorra la Vella,15.207152550490939,Net Immigration,1.8966148339953692,High Income
AND,Andorra,2019,76474,1245.0,41257.816459345,84.098,1.045,Europe & Central Asia,High income,Andorra la Vella,16.28004289039412,Net Immigration,1.7455629174316867,High Income
AND,Andorra,2020,77380,572.0,37361.1070081615,79.418,1.028,Europe & Central Asia,High income,Andorra la Vella,7.392090979581287,Net Immigration,1.1847163741925293,High Income
AND,Andorra,2021,78364,1514.0,42425.7066454357,82.331,1.058,Europe & Central Asia,High income,Andorra la Vella,19.32009596243173,Net Immigration,1.271646420263628,High Income
AND,Andorra,2022,79705,1102.0,42414.0479861228,84.016,1.071,Europe & Central Asia,High income,Andorra la Vella,13.825983313468415,Net Immigration,1.711244959420144,High Income
AND,Andorra,2023,80856,1061.0,46812.4261013102,84.041,1.082,Europe & Central Asia,High income,Andorra la Vella,13.122093598496093,Net Immigration,1.4440750266608182,High Income
AND,Andorra,2024,81938,988.0,49303.6491674336,84.041,1.082,Europe & Central Asia,High income,Andorra la Vella,12.057897434645708,Net Immigration,1.3381814583951712,High Income
ARE,United Arab Emirates,2016,8935095,195317.0,42721.0999383185,82.195,1.366,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,21.859532551136837,Net Immigration,,High Income
ARE,United Arab Emirates,2017,9223225,34155.0,43733.6192287435,82.388,1.35,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,3.7031515549062286,Net Immigration,3.224699905261219,High Income
ARE,United Arab Emirates,2018,9346701,14611.0,47135.3591943971,82.449,1.288,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,1.5632253561978713,Net Immigration,1.3387508165527695,High Income
ARE,United Arab Emirates,2019,9445785,-125186.0,45938.6073581994,82.596,1.247,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,-13.25310707368419,Net Emigration,1.0600959632709017,High Income
ARE,United Arab Emirates,2020,9401038,92541.0,37991.7492971665,81.936,1.289,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,9.843700238207738,Net Immigration,-0.473724523689667,High Income
ARE,United Arab Emirates,2021,9575152,421663.0,44118.5047192771,79.083,1.162,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,44.03721215078362,Net Immigration,1.8520720797001289,High Income
ARE,United Arab Emirates,2022,10074977,322773.0,50759.7589231191,80.487,1.148,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,32.03709546929983,Net Immigration,5.220021572503497,High Income
ARE,United Arab Emirates,2023,10483751,300004.0,49850.6872175164,82.909,1.2,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,28.616093610006573,Net Immigration,4.057319436064222,High Income
ARE,United Arab Emirates,2024,10986400,278439.0,50273.5060469837,82.909,1.2,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,25.34397072744484,Net Immigration,4.794553018285153,High Income
ARG,Argentina,2016,43900313,5215.0,12699.9623137756,76.105,2.241,Latin America & Caribbean,Upper middle income,Buenos Aires,0.11879186373910364,Net Immigration,,Upper Middle
ARG,Argentina,2017,44288894,4931.0,14532.5009308511,76.543,2.168,Latin America & Caribbean,Upper middle income,Buenos Aires,0.11133716728171175,Net Immigration,0.8851440307498404,Upper Middle
ARG,Argentina,2018,44654882,5742.0,11752.7998922979,76.77,2.067,Latin America & Caribbean,Upper middle income,Buenos Aires,0.12858616444222157,Net Immigration,0.8263651831088792,Upper Middle
ARG,Argentina,2019,44973465,5397.0,9955.97478680428,76.847,1.882,Latin America & Caribbean,Upper middle income,Buenos Aires,0.12000409574845967,Net Immigration,0.7134337517676226,Upper Middle
ARG,Argentina,2020,45191965,292.0,8535.59938004389,75.878,1.601,Latin America & Caribbean,Upper middle income,Buenos Aires,0.006461325591839168,Net Immigration,0.4858420404120434,Upper Middle
ARG,Argentina,2021,45312281,314.0,10738.0179223384,73.948,1.585,Latin America & Caribbean,Upper middle income,Buenos Aires,0.006929688664315973,Net Immigration,0.2662331677766083,Upper Middle
ARG,Argentina,2022,45407904,5589.0,13962.1894087223,75.806,1.482,Latin America & Caribbean,Upper middle income,Buenos Aires,0.12308429827547203,Net Immigration,0.21103108890059286,Upper Middle
ARG,Argentina,2023,45538401,4133.0,14261.8465667948,77.395,1.5,Latin America & Caribbean,Upper middle income,Buenos Aires,0.09075856659964851,Net Immigration,0.28738829257566323,Upper Middle
ARG,Argentina,2024,45696159,3454.0,13969.7836603737,77.395,1.5,Latin America & Caribbean,Upper middle income,Buenos Aires,0.07558622159030914,Net Immigration,0.3464285010797763,Upper Middle
ARM,Armenia,2016,2992300,-14697.0,3524.42476874707,74.8682926829268,1.6,Europe & Central Asia,Upper middle income,Yerevan,-4.911606456571867,Net Emigration,,Lower Middle
ARM,Armenia,2017,2979400,-14180.0,3869.05373867752,75.2170731707317,1.6,Europe & Central Asia,Upper middle income,Yerevan,-4.759347519634826,Net Emigration,-0.4311065067005293,Lower Middle
ARM,Armenia,2018,2969000,-13129.0,4196.00562301769,75.619512195122,1.6,Europe & Central Asia,Upper middle income,Yerevan,-4.422027618726844,Net Emigration,-0.3490635698462752,Lower Middle
ARM,Armenia,2019,2962500,-14330.0,4597.22887399548,76.2219512195122,1.6,Europe & Central Asia,Upper middle income,Yerevan,-4.837130801687763,Net Emigration,-0.21892893230043287,Lower Middle
ARM,Armenia,2020,2961500,-13046.0,4268.68093304583,73.3756097560976,1.7,Europe & Central Asia,Upper middle income,Yerevan,-4.405200067533345,Net Emigration,-0.033755274261604296,Lower Middle
ARM,Armenia,2021,2962300,-19457.0,4685.17997128509,72.2780487804878,1.7,Europe & Central Asia,Upper middle income,Yerevan,-6.568207136346757,Net Emigration,0.02701333783554638,Lower Middle
ARM,Armenia,2022,2969200,38001.0,6571.97445545099,74.7658536585366,1.7,Europe & Central Asia,Upper middle income,Yerevan,12.798396874579012,Net Immigration,0.23292711744253847,Upper Middle
ARM,Armenia,2023,2964300,75000.0,8159.08720967996,77.4658536585366,1.9,Europe & Central Asia,Upper middle income,Yerevan,25.301082886347537,Net Immigration,-0.1650276168664977,Upper Middle
ARM,Armenia,2024,3033500,-29966.0,8556.21406956719,77.4658536585366,1.9,Europe & Central Asia,Upper middle income,Yerevan,-9.878358331959783,Net Emigration,2.3344465809803427,Upper Middle
ASM,American Samoa,2016,52245,-1349.0,12843.3342903627,72.64,2.699,East Asia & Pacific,High income,Pago Pago,-25.820652694037705,Net Emigration,,Upper Middle
ASM,American Samoa,2017,51586,-1305.0,11863.6839452565,72.801,2.598,East Asia & Pacific,High income,Pago Pago,-25.2975613538557,Net Emigration,-1.2613647238970183,Upper Middle
ASM,American Samoa,2018,50908,-1256.0,12552.0546868861,72.794,2.494,East Asia & Pacific,High income,Pago Pago,-24.671957256226918,Net Emigration,-1.3143100841313538,Upper Middle
ASM,American Samoa,2019,50209,-1212.0,12886.1359517218,72.751,2.404,East Asia & Pacific,High income,Pago Pago,-24.13909856798582,Net Emigration,-1.3730651371100855,Upper Middle
ASM,American Samoa,2020,49761,-653.0,14489.2586563775,72.672,2.36,East Asia & Pacific,High income,Pago Pago,-13.122726633307208,Net Emigration,-0.892270310103771,Upper Middle
ASM,American Samoa,2021,49225,-1333.0,15236.1604875571,72.708,2.327,East Asia & Pacific,High income,Pago Pago,-27.079735906551548,Net Emigration,-1.0771487711259797,Upper Middle
ASM,American Samoa,2022,48342,-1305.0,18017.4589383973,72.752,2.305,East Asia & Pacific,High income,Pago Pago,-26.995159488643417,Net Emigration,-1.7938039614017298,Upper Middle
ASM,American Samoa,2023,47521,-1159.0,18017.4589383973,72.852,2.286,East Asia & Pacific,High income,Pago Pago,-24.389217398623767,Net Emigration,-1.6983161639981814,Upper Middle
ASM,American Samoa,2024,46765,-1110.0,18017.4589383973,72.852,2.286,East Asia & Pacific,High income,Pago Pago,-23.735699775473112,Net Emigration,-1.5908756128869328,Upper Middle
ATG,Antigua and Barbuda,2016,89969,0.0,16556.8551801588,76.968,1.458,Latin America & Caribbean,High income,Saint John's,0.0,Net Emigration,,Upper Middle
ATG,Antigua and Barbuda,2017,90468,0.0,16965.7288273816,77.03,1.485,Latin America & Caribbean,High income,Saint John's,0.0,Net Emigration,0.5546354855561431,Upper Middle
ATG,Antigua and Barbuda,2018,90926,0.0,18273.4270684912,77.132,1.371,Latin America & Caribbean,High income,Saint John's,0.0,Net Emigration,0.5062563558385191,Upper Middle
ATG,Antigua and Barbuda,2019,91364,0.0,18896.3721832248,77.168,1.468,Latin America & Caribbean,High income,Saint John's,0.0,Net Emigration,0.48171040186524294,Upper Middle
ATG,Antigua and Barbuda,2020,91846,0.0,15369.6082250401,77.161,1.569,Latin America & Caribbean,High income,Saint John's,0.0,Net Emigration,0.5275600893130727,Upper Middle
ATG,Antigua and Barbuda,2021,92349,0.0,17348.6006987182,77.197,1.58,Latin America & Caribbean,High income,Saint John's,0.0,Net Emigration,0.5476558587200309,Upper Middle
ATG,Antigua and Barbuda,2022,92840,0.0,20105.1989085164,77.483,1.58,Latin America & Caribbean,High income,Saint John's,0.0,Net Emigration,0.5316787404303192,High Income
ATG,Antigua and Barbuda,2023,93316,0.0,21494.5474000727,77.598,1.578,Latin America & Caribbean,High income,Saint John's,0.0,Net Emigration,0.5127100387763983,High Income
ATG,Antigua and Barbuda,2024,93772,9.0,23542.4526945578,77.598,1.578,Latin America & Caribbean,High income,Saint John's,0.09597747728533038,Net Immigration,0.4886621801191593,High Income
AUS,Australia,2016,24190907,254648.0,50084.4440606385,82.4487804878049,1.752,East Asia & Pacific,High income,Canberra,10.526599932776394,Net Immigration,,High Income
AUS,Australia,2017,24592588,255023.0,54117.547718609,82.5,1.741,East Asia & Pacific,High income,Canberra,10.369913081128347,Net Immigration,1.6604627515619752,High Income
AUS,Australia,2018,24963258,226412.0,57410.1737346009,82.7487804878049,1.74,East Asia & Pacific,High income,Canberra,9.069809717946272,Net Immigration,1.5072427513525666,High Income
AUS,Australia,2019,25334826,207142.0,55194.7585097428,82.9,1.657,East Asia & Pacific,High income,Canberra,8.176176145831828,Net Immigration,1.4884595592450367,High Income
AUS,Australia,2020,25649248,44447.0,51983.4523666382,83.2,1.581,East Asia & Pacific,High income,Canberra,1.7328773147657195,Net Immigration,1.2410663487485651,High Income
AUS,Australia,2021,25685412,116768.0,60758.9044397144,83.3,1.7,East Asia & Pacific,High income,Canberra,4.546082422193579,Net Immigration,0.14099438704791023,High Income
AUS,Australia,2022,26018721,140972.0,65169.5191118657,83.2,1.63,East Asia & Pacific,High income,Canberra,5.418098760504023,Net Immigration,1.29765876443797,High Income
AUS,Australia,2023,26659922,140232.0,65058.3773146674,83.0512195121951,1.5,East Asia & Pacific,High income,Canberra,5.260030393187197,Net Immigration,2.4643832415897737,High Income
AUS,Australia,2024,27196812,138510.0,64603.9856308464,83.0512195121951,1.5,East Asia & Pacific,High income,Canberra,5.092876326828306,Net Immigration,2.0138468522151065,High Income
AUT,Austria,2016,8736668,65976.0,45061.4993920192,81.6414634146342,1.53,Europe & Central Asia,High income,Vienna,7.5516203660251255,Net Immigration,,High Income
AUT,Austria,2017,8797566,45478.0,47163.7425775142,81.6439024390244,1.52,Europe & Central Asia,High income,Vienna,5.169384350171399,Net Immigration,0.6970391916002683,High Income
AUT,Austria,2018,8840521,35296.0,51194.0749841299,81.6926829268293,1.47,Europe & Central Asia,High income,Vienna,3.992524874947981,Net Immigration,0.4882600482906341,High Income
AUT,Austria,2019,8879920,41090.0,49885.9947355204,81.8951219512195,1.46,Europe & Central Asia,High income,Vienna,4.627293939585041,Net Immigration,0.44566377931798407,High Income
AUT,Austria,2020,8916864,39601.0,48716.4098900349,81.1926829268293,1.44,Europe & Central Asia,High income,Vienna,4.441135358798788,Net Immigration,0.416039784142197,High Income
AUT,Austria,2021,8955797,52150.0,53648.6437976214,81.190243902439,1.48,Europe & Central Asia,High income,Vienna,5.82304400155564,Net Immigration,0.43662211288633124,High Income
AUT,Austria,2022,9041851,157365.0,52336.7725223758,81.2951219512195,1.41,Europe & Central Asia,High income,Vienna,17.40406914469172,Net Immigration,0.9608748389450916,High Income
AUT,Austria,2023,9131761,4819.0,56579.504175468,81.5414634146342,1.32,Europe & Central Asia,High income,Vienna,0.5277185857141903,Net Immigration,0.9943760409234725,High Income
AUT,Austria,2024,9177982,8813.0,58268.8787651601,81.5414634146342,1.32,Europe & Central Asia,High income,Vienna,0.9602328703630058,Net Immigration,0.5061564795661999,High Income
AZE,Azerbaijan,2016,9757812,4671.0,3880.6852276838,72.568,1.9,Europe & Central Asia,Upper middle income,Baku,0.47869337921247096,Net Immigration,,Lower Middle
AZE,Azerbaijan,2017,9854033,-11324.0,4147.1981423222,72.694,1.75,Europe & Central Asia,Upper middle income,Baku,-1.1491741503199757,Net Emigration,0.9860919640591659,Lower Middle
AZE,Azerbaijan,2018,9939771,-37559.0,4739.7943123408,73.016,1.73,Europe & Central Asia,Upper middle income,Baku,-3.7786584821722755,Net Emigration,0.8700803011315372,Lower Middle
AZE,Azerbaijan,2019,10024283,384.0,4805.75371765917,73.29,1.81,Europe & Central Asia,Upper middle income,Baku,0.0383069791624997,Net Immigration,0.8502409160130453,Lower Middle
AZE,Azerbaijan,2020,10093121,1073.0,4229.91064904503,70.312,1.7,Europe & Central Asia,Upper middle income,Baku,0.10631003036622667,Net Immigration,0.6867124561427573,Lower Middle
AZE,Azerbaijan,2021,10137750,1073.0,5408.04535175023,70.999,1.52,Europe & Central Asia,Upper middle income,Baku,0.10584202609060196,Net Immigration,0.442172445965916,Upper Middle
AZE,Azerbaijan,2022,10141756,9086.0,7770.594223351,74.125,1.67,Europe & Central Asia,Upper middle income,Baku,0.8959000788423622,Net Immigration,0.03951567162339131,Upper Middle
AZE,Azerbaijan,2023,10153958,-84122.0,7133.02838048328,74.429,1.55,Europe & Central Asia,Upper middle income,Baku,-8.284651167554562,Net Emigration,0.12031447019629216,Upper Middle
AZE,Azerbaijan,2024,10202830,10864.0,7283.8499076179,74.429,1.55,Europe & Central Asia,Upper middle income,Baku,1.0648026086879816,Net Immigration,0.48130984981422653,Upper Middle
BDI,Burundi,2016,11239451,-109296.0,232.937812100153,60.789,5.587,Sub-Saharan Africa,Low income,Bujumbura,-9.724318385301917,Net Emigration,,Low Income
BDI,Burundi,2017,11506762,-68349.0,246.060725714184,61.345,5.481,Sub-Saharan Africa,Low income,Bujumbura,-5.939898643945186,Net Emigration,2.378327909432576,Low Income
BDI,Burundi,2018,11859446,68141.0,245.661678332009,61.806,5.38,Sub-Saharan Africa,Low income,Bujumbura,5.745715272028727,Net Immigration,3.065015162388862,Low Income
BDI,Burundi,2019,12255336,14253.0,234.31061590725,62.18,5.271,Sub-Saharan Africa,Low income,Bujumbura,1.1630036092033706,Net Immigration,3.338182913434573,Low Income
BDI,Burundi,2020,12617036,-10189.0,255.8324539389,62.569,5.177,Sub-Saharan Africa,Low income,Bujumbura,-0.8075589227137023,Net Emigration,2.9513674696475034,Low Income
BDI,Burundi,2021,12965481,-14415.0,264.980379269655,62.101,5.078,Sub-Saharan Africa,Low income,Bujumbura,-1.111798320478816,Net Emigration,2.761702510795727,Low Income
BDI,Burundi,2022,13321097,1995.0,302.992505263552,62.882,4.98,Sub-Saharan Africa,Low income,Bujumbura,0.14976244073592437,Net Immigration,2.742790645406834,Low Income
BDI,Burundi,2023,13689450,1995.0,250.627253097255,63.651,4.878,Sub-Saharan Africa,Low income,Bujumbura,0.14573266274393787,Net Immigration,2.7651851795689186,Low Income
BDI,Burundi,2024,14047786,-27074.0,219.424830882698,63.651,4.878,Sub-Saharan Africa,Low income,Bujumbura,-1.9272787896968249,Net Emigration,2.617606989323895,Low Income
BEL,Belgium,2016,11331422,28090.0,41854.5498296444,81.4390243902439,1.68,Europe & Central Asia,High income,Brussels,2.4789474789660115,Net Immigration,,High Income
BEL,Belgium,2017,11375158,37981.0,44035.3239358548,81.4926829268293,1.65,Europe & Central Asia,High income,Brussels,3.3389426327089256,Net Immigration,0.38597097522270474,High Income
BEL,Belgium,2018,11427054,50604.0,47487.2100392561,81.5951219512195,1.62,Europe & Central Asia,High income,Brussels,4.428437985853572,Net Immigration,0.4562222344516087,High Income
BEL,Belgium,2019,11488980,58469.0,46716.6227467964,81.9951219512195,1.6,Europe & Central Asia,High income,Brussels,5.089137590978486,Net Immigration,0.5419244540193935,High Income
BEL,Belgium,2020,11538604,43777.0,45906.2875805246,80.6951219512195,1.55,Europe & Central Asia,High income,Brussels,3.793959823909374,Net Immigration,0.43192694216545036,High Income
BEL,Belgium,2021,11586195,24017.0,51658.238294958,81.790243902439,1.6,Europe & Central Asia,High income,Brussels,2.0728979617553476,Net Immigration,0.41245024094769267,High Income
BEL,Belgium,2022,11680210,118615.0,50605.7496677086,81.7487804878049,1.53,Europe & Central Asia,High income,Brussels,10.155211250482655,Net Immigration,0.8114398212700547,High Income
BEL,Belgium,2023,11779946,41679.0,55291.4754541329,82.3975609756098,1.47,Europe & Central Asia,High income,Brussels,3.5381316688548488,Net Immigration,0.8538887571370779,High Income
BEL,Belgium,2024,11858610,36243.0,56614.5679499036,82.3975609756098,1.47,Europe & Central Asia,High income,Brussels,3.0562603880218675,Net Immigration,0.6677789524671907,High Income
BEN,Benin,2016,11697842,3837.0,1010.5338961993,59.283,5.254,Sub-Saharan Africa,Lower middle income,Porto-Novo,0.32800921742659883,Net Immigration,,Lower Middle
BEN,Benin,2017,12039780,3716.0,1054.97408066814,59.528,5.155,Sub-Saharan Africa,Lower middle income,Porto-Novo,0.3086435134196804,Net Immigration,2.9230861555490373,Lower Middle
BEN,Benin,2018,12383347,3372.0,1151.7409703472,59.71,5.031,Sub-Saharan Africa,Lower middle income,Porto-Novo,0.2723011799637045,Net Immigration,2.8535986537959968,Lower Middle
BEN,Benin,2019,12726755,3366.0,1130.82135339795,59.888,4.9,Sub-Saharan Africa,Lower middle income,Porto-Novo,0.26448218732897744,Net Immigration,2.7731436420218136,Lower Middle
BEN,Benin,2020,13070169,1729.0,1200.19426557789,60.154,4.795,Sub-Saharan Africa,Lower middle income,Porto-Novo,0.13228597120664623,Net Immigration,2.698362622679551,Lower Middle
BEN,Benin,2021,13413417,1729.0,1318.65158075198,59.61,4.707,Sub-Saharan Africa,Lower middle income,Porto-Novo,0.1289007864289912,Net Immigration,2.626194045386865,Lower Middle
BEN,Benin,2022,13759501,-192.0,1266.42711031904,60.475,4.634,Sub-Saharan Africa,Lower middle income,Porto-Novo,-0.01395399440720997,Net Emigration,2.5801330115957866,Lower Middle
BEN,Benin,2023,14111034,-192.0,1394.17784721831,60.774,4.556,Sub-Saharan Africa,Lower middle income,Porto-Novo,-0.013606373565537436,Net Emigration,2.5548382895571597,Lower Middle
BEN,Benin,2024,14462724,-7725.0,1485.38018885134,60.774,4.556,Sub-Saharan Africa,Lower middle income,Porto-Novo,-0.5341317444763517,Net Emigration,2.49230495794992,Lower Middle
BFA,Burkina Faso,2016,19334856,-7598.0,663.742364842886,59.173,5.331,Sub-Saharan Africa,Low income,Ouagadougou,-0.39296905029962464,Net Emigration,,Low Income
BFA,Burkina Faso,2017,19894407,-14780.0,709.091535894695,59.578,5.17,Sub-Saharan Africa,Low income,Ouagadougou,-0.7429223700912523,Net Emigration,2.8940013827876365,Low Income
BFA,Burkina Faso,2018,20438288,-23938.0,777.465618514048,59.972,4.921,Sub-Saharan Africa,Low income,Ouagadougou,-1.171233128723893,Net Emigration,2.73383871155346,Low Income
BFA,Burkina Faso,2019,20961952,-25240.0,764.853077774946,60.184,4.681,Sub-Saharan Africa,Low income,Ouagadougou,-1.2040863369976231,Net Emigration,2.5621715478321816,Low Income
BFA,Burkina Faso,2020,21478690,-5661.0,825.237038782475,60.454,4.44,Sub-Saharan Africa,Low income,Ouagadougou,-0.2635635599750264,Net Emigration,2.465123477050235,Low Income
BFA,Burkina Faso,2021,21995243,-13079.0,895.535288442991,60.046,4.361,Sub-Saharan Africa,Low income,Ouagadougou,-0.5946285749150395,Net Emigration,2.404955795721242,Low Income
BFA,Burkina Faso,2022,22509038,-24960.0,827.330843486661,60.7,4.275,Sub-Saharan Africa,Low income,Ouagadougou,-1.1088879053827179,Net Emigration,2.3359369114494433,Low Income
BFA,Burkina Faso,2023,23025776,-24957.0,873.482589651003,61.092,4.186,Sub-Saharan Africa,Low income,Ouagadougou,-1.0838722655861848,Net Emigration,2.295691179694126,Low Income
